"agegroup","Totaal.aantal.testen","Aantal.positief","percentage.positief","aantal.testen.week","Aantal.positief.week","percentage.positief.week"
"0-4","5908","493","8.3","633","76","12.0"
"5-9","32314","3149","9.7","3200","564","17.6"
"10-14","195497","18561","9.5","22268","2939","13.2"
"15-19","355221","41573","11.7","35304","4443","12.6"
"20-24","347955","46218","13.3","28392","3205","11.3"
"25-29","349109","38627","11.1","28203","2684","9.5"
"30-34","370754","33780","9.1","31415","2608","8.3"
"35-39","344312","30494","8.9","29979","2420","8.1"
"40-44","294072","30860","10.5","26986","2734","10.1"
"45-49","262890","35445","13.5","24445","3175","13.0"
"50-54","252052","39233","15.6","22927","3406","14.9"
"55-59","218998","33579","15.3","19882","2872","14.4"
"60-64","182094","24687","13.6","17302","2127","12.3"
"65-69","124132","16155","13.0","12551","1513","12.1"
"70-74","83372","12266","14.7","8558","1083","12.7"
"75-79","41187","6968","16.9","4142","665","16.1"
"80-84","22652","4202","18.6","2314","419","18.1"
"85-89","10266","1986","19.3","1086","206","19.0"
"90-94","3461","697","20.1","381","77","20.2"
"95+","813","162","19.9","74","11","14.9"
"Niet vermeld","1406","486","34.6","163","40","24.5"
